icao_hex,registration,type,description,country,category,role,source
459901,OY-FHA,BN2P,BRITTEN-NORMAN BN-2 Islander,Denmark,military,Danish Defence,tar1090-db flag=10
459902,OY-FHB,BN2P,BRITTEN-NORMAN BN-2 Islander,Denmark,military,Danish Defence,tar1090-db flag=10
459903,OY-FHC,DHC6,DE HAVILLAND DHC-6 Twin Otter,Denmark,military,Danish Defence,tar1090-db flag=10
459904,OY-FHD,DHC6,DE HAVILLAND DHC-6 Twin Otter,Denmark,military,Danish Defence,tar1090-db flag=10
45F422,C-080,CL60,BOMBARDIER CL-600 Challenger,Denmark,military,Danish Defence,tar1090-db flag=10
45F424,C-168,CL60,BOMBARDIER CL-600 Challenger,Denmark,military,Danish Defence,tar1090-db flag=10
45F425,C-172,CL60,BOMBARDIER CL-600 Challenger,Denmark,military,Danish Defence,tar1090-db flag=10
45F426,C-215,CL60,BOMBARDIER CL-600 Challenger,Denmark,military,Danish Defence,tar1090-db flag=10
45F428,B-536,C30J,Lockheed Martin C-130J-30 Hercules,Denmark,military,Danish Defence,tar1090-db flag=10
45F429,B-537,C30J,Lockheed Martin C-130J-30 Hercules,Denmark,military,Danish Defence,tar1090-db flag=10
45F42A,B-538,C30J,Lockheed Martin C-130J-30 Hercules,Denmark,military,Danish Defence,tar1090-db flag=10
45F42B,B-583,C30J,Lockheed Martin C-130J-30 Hercules,Denmark,military,Danish Defence,tar1090-db flag=10
45F42C,M-502,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F42D,M-516,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F42E,M-504,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F42F,M-517,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F430,M-518,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F431,M-507,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F432,M-508,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F433,M-519,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F434,M-510,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F435,M-520,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F436,M-512,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F437,M-513,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F438,M-514,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F439,M-515,EH10,AGUSTA WESTLAND EH-101 Merlin,Denmark,military,Danish Defence,tar1090-db flag=10
45F440,N-971,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F442,N-973,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F443,N-974,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F444,N-975,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F445,N-976,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F446,N-977,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F447,N-978,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F448,N-979,H60,SIKORSKY UH-60 Black Hawk,Denmark,military,Danish Defence,tar1090-db flag=10
45F44D,T-432,MF17,SAAB T-17 Supporter,Denmark,military,Danish Defence,tar1090-db flag=10
45F45B,T-414,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F45D,T-417,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F461,,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F462,T-423,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F463,,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F464,T-426,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F466,T-428,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F467,T-429,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F468,T-430,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F469,T-431,MF17,SAAB T-17 Supporter,Denmark,military,Danish Defence,tar1090-db flag=10
467801,FF-3,F27,FOKKER F-27,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467807,HN-402,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467808,HN-403,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467809,HN-404,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780A,HN-405,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780B,HN-406,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780C,HN-407,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
